Account Name,Account Type,Account Classification,Account Number,Symbol,Exchange,MIC,Name,Security Type,Quantity,Position Direction,Market Price,Market Price Currency,Book Value (CAD),Book Value Currency (CAD),Book Value (Market),Book Value Currency (Market),Market Value,Market Value Currency,Market Unrealized Returns,Market Unrealized Returns Currency
"Crypto","Crypto","Trade","XXXXXXXXXX","BTC","","","Bitcoin","CRYPTOCURRENCY","0.1","LONG","89893.35","CAD","10000","CAD","10000","CAD","8989.33","CAD","-1010.67","CAD"
"TFSA","TFSA","Trade","XXXXXXXXXX","CAD","","","CAD","CURRENCY","100.00","LONG","1","CAD","100","CAD","100","CAD","100.00","CAD","0","CAD"
"TFSA","TFSA","Trade","XXXXXXXXXX","ABX","TSX","XTSE","Barrick Mining Corp.","EQUITY","100","LONG","58.375","CAD","5000","CAD","5000","CAD","5837.50","CAD","837.50","CAD"
"TFSA","TFSA","Trade","XXXXXXXXXX","AEM.TO","TSX","XTSE","Agnico Eagle Mines Limited","EQUITY","10","LONG","260.29","CAD","2000","CAD","2000","CAD","2602.90","CAD","602.90","CAD"
"TFSA","TFSA","Trade","XXXXXXXXXX","CCO","TSX","XTSE","Cameco Corporation","EQUITY","20","LONG","132.87","CAD","2000","CAD","2000","CAD","2657.40","CAD","657.40","CAD"
"TFSA","TFSA","Trade","XXXXXXXXXX","PHOS","CSE","XCNQ","First Phosphate Corp.","EQUITY","300","LONG","2.32","CAD","500","CAD","500","CAD","696.00","CAD","196.00","CAD"
"RRSP","RRSP","Trade","XXXXXXXXXX","MSFT","NASDAQ","XNAS","Microsoft Corp.","EQUITY","10","LONG","482.01","USD","5000","CAD","3500","USD","4820.10","USD","1320.10","USD"
"RRSP","RRSP","Trade","XXXXXXXXXX","JPM","NYSE","XNYS","JPMorgan Chase & Co","EQUITY","5","LONG","361.79","USD","2000","CAD","1500","USD","1808.95","USD","308.95","USD"
"RRSP","RRSP","Trade","XXXXXXXXXX","SPUS","NYSE","XNYS","SP Funds S&P 500 Sharia Industry Exclusions ETF","EXCHANGE_TRADED_FUND","100","LONG","58.615","USD","8000","CAD","5500","USD","5861.50","USD","361.50","USD"
"RRSP","RRSP","Trade","XXXXXXXXXX","SPSK","NYSE","XNYS","SP Funds Dow Jones Global Sukuk ETF","EXCHANGE_TRADED_FUND","50","LONG","17.895","USD","1200","CAD","900","USD","894.75","USD","-5.25","USD"
"Non-registered","Non-registered","Trade","XXXXXXXXXX","WSHR","CBOE CANADA","NEOE","Wealthsimple Shariah World Equity Index ETF","EXCHANGE_TRADED_FUND","200","LONG","35.42","CAD","6500","CAD","6500","CAD","7084.00","CAD","584.00","CAD"
"Non-registered","Non-registered","Trade","XXXXXXXXXX","ZZQQ","NASDAQ","XNAS","Imaginary Growth ETF","EXCHANGE_TRADED_FUND","25","LONG","40.00","USD","1300","CAD","950","USD","1000.00","USD","50.00","USD"
"Non-registered","Non-registered","Trade","XXXXXXXXXX","GOLD","","","Physically backed gold","PRECIOUS_METAL","1.0","LONG","6060.38","CAD","5800","CAD","5800","CAD","6060.38","CAD","260.38","CAD"
"RRSP","RRSP","Trade","XXXXXXXXXX","ABX.TO","TSX","XTSE","Barrick Mining Corp.","EQUITY","44.8","LONG","58.375","CAD","2400","CAD","2400","CAD","2615.20","CAD","215.20","CAD"
"TFSA","TFSA","Trade","XXXXXXXXXX","SPUS","NYSE","XNYS","SP Funds S&P 500 Sharia Industry Exclusions ETF","EXCHANGE_TRADED_FUND","221.17","LONG","58.615","USD","18000","CAD","12000","USD","12964.09","USD","964.09","USD"
"TFSA","TFSA","Trade","XXXXXXXXXX","WSHR","CBOE CANADA","NEOE","Wealthsimple Shariah World Equity Index ETF","EXCHANGE_TRADED_FUND","691.08","LONG","35.42","CAD","21932","CAD","21932","CAD","24478.05","CAD","2546.05","CAD"

"As of 2026-08-18 13:48 GMT-04:00"
